"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"5172","AC-直播学生端(#10)","通用(#16)","问题反馈(#210)","","","3月10日晚19:40分左右，客户上课途中出现加载视频失败","","2","1","代码错误","","","[步骤]3月10日晚19：40左右，客户上课期间出现加载视频失败（13947113628、13951163767、13906853977）
[结果]反馈人：王舒
[期望]","激活","0000-00-00","0","未确认",",","吴婕","2019-03-11","主干(#trunk)","吴婕","2019-03-12","","","","0000-00-00","","0000-00-00","0","","","吴婕","2019-03-12","552c08b0a50f9e2970603d08f1e302f
",""
"5189","AC-直播学生端(#10)","通用(#16)","AC_iPad_v2.1.1(#195)","","","用户家里的宽带运营商是 北京航数宽网科技有限公司 ，手机端显示网络开小差，内容加载不出来 13810295092，用户联系宽带运营商称我们的软件不支持他们网络","","3","1","代码错误","IOS","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","张安平","2019-03-12","主干(#trunk)","虞列","2019-03-12","","","","0000-00-00","","0000-00-00","0","","","黄冬琴","2019-03-12","航数1
",""
"5900","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.1.2(#203)","","","  15932036885   客户端本地时间不是当前时间，进入教室上课就显示可课件加载失败，点击“点击刷新“ 没反应，刷新教室无用，同步本地时间课件正常显示","","2","2","代码错误","","","[步骤][结果][期望]","激活","0000-00-00","0","已确认",",","张安平","2019-03-30","主干(#trunk)","赵礼彬","2019-05-21","","","","0000-00-00","","0000-00-00","0","","","赵礼彬","2019-05-21","",""
"6218","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.1.2(#202)","","","用户有时候进入教室总是显示网络连接超时（crm里面没有查到网络波动），有时候进入教室，课件也是卡住了，不能翻页。用户号码：13990860997","","3","1","","","","[步骤]
[结果]
[期望]","激活","2019-04-10","0","未确认",",","丁亦强","2019-04-10","主干(#trunk)","蔡林锋","2019-04-24","","","","0000-00-00","","0000-00-00","0","","","龚慧超","2019-04-24","2af2d50d634896ea753d711684768693
8ddc45db03e71d391a34bb9b0103adf7
36f0a1079ba1e48fed6841dd7898e1c6
",""
"6699","AC-直播学生端(#10)","通用(#16)","问题反馈(#210)","","","L0字幕是白色，用户反馈有些背景下看不清","","3","","代码错误","","","比如4月20日L0的课程weather conditions，里面有一段讲雾的，背景也是白蒙蒙的，用户反馈看不清。希望可以对字幕的显示做一下处理，能适配更多场景

","激活","0000-00-00","0","未确认",",","吴婕","2019-04-22","主干(#trunk)","虞列","2019-04-23","","","","0000-00-00","","0000-00-00","0","","","黄冬琴","2019-04-23","",""
"7334","AC-直播学生端(#10)","通用(#16)","AC_Android_2.4.0(#259)","","","建议举报页在未选择举报对象和违规内容时，举报按钮置灰显示","","4","4","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","camel.bai","2019-05-14","主干(#trunk)","王和鑫","2019-05-14","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"7447","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.4.0(#260)","","","万能老师未上线的情况各个端口不统一问题","","4","4","代码错误","","","[步骤]1.PC端一直有弹窗“老师正在赶来”老师上线后关闭，没上线一直有弹窗，直播间任何区域不能点击
         2.ipAD端10s后关闭弹窗，显示主课老师为上线的状态
[结果]
[期望]期望每个端口的处理方式统一
  建议：针对这种特殊case,建议老师未上线有个统一的画面，教学页默认首页。尽量不要有弹窗无法点击这种页面。","激活","0000-00-00","0","未确认",",","胡春霞","2019-05-15","主干(#trunk)","王和鑫","2019-05-15","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"7500","AC-直播学生端(#10)","通用(#16)","AC_Android_2.4.0(#259)","","","用户购买课程后退款，课表页开课课程仍然显示，可以正常上课做作业等","","4","4","代码错误","","","[步骤][结果][期望]","激活","0000-00-00","0","未确认",",","camel.bai","2019-05-16","主干(#trunk)","王和鑫","2019-05-16","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"7532","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.4.0(#260)","","","预发环境-监课学生端-后台切换万能老师-老师名称未实时更新问题--万能老师上线后更新。","","4","4","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2019-05-17","主干(#trunk)","","0000-00-00","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"8107","AC-直播学生端(#10)","线上问题反馈(#247)","AC_Android_2.4.0(#259)","","","上课卡的不行，网络很差。用户号码：15976351884","","3","1","代码错误","","","[步骤]
[结果]
[期望]","激活","2019-06-03","0","未确认",",","丁亦强","2019-06-03","主干(#trunk)","黄冬琴","2019-06-03","","","","0000-00-00","","0000-00-00","0","","","丁亦强","2019-06-04","096a38be78260d01461da3c140fa06c
",""
"10378","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.9.0(#339)","","","购买SPH课程成功后弹出信封，SPH入口未显示问题，重新登录APP后可以正常显示","","3","3","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2019-09-03","主干(#trunk)","王和鑫","2019-09-12","","","","0000-00-00","","0000-00-00","0","","","龚慧超","2019-09-12","",""
"11119","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.11.0(#370)","","","当前小课包未开课，后台依然可以创建不再开课日期时间的内的课程","","3","3","设计缺陷","","","[步骤]期望按照开课时间开课
[结果]
[期望]","激活","0000-00-00","0","已确认",",","胡春霞","2019-10-15","主干(#trunk)","厉国甜","2019-10-16","","","","0000-00-00","","0000-00-00","0","","","厉国甜","2019-10-16","",""
